dataset,method,N,time_ms
random,nearestx,32768,2.394
random,str,32768,3.859
random,nearestx,65536,4.93
random,str,65536,8.016
random,nearestx,131072,10.218
random,str,131072,16.685
random,nearestx,262144,21.345
random,str,262144,35.384
random,nearestx,524288,45.935
random,str,524288,75.366
random,nearestx,1048576,96.5
random,str,1048576,156.596
random,nearestx,2097152,202.445
random,str,2097152,324.172
random,nearestx,4194304,437.938
random,str,4194304,671.703
random,nearestx,8388608,925.695
random,str,8388608,1428.05
random,nearestx,16777216,2117.06
random,str,16777216,3275.25
europa,nearestx,32768,2.304
europa,str,32768,3.794
europa,nearestx,65536,4.922
europa,str,65536,7.964
europa,nearestx,131072,13.626
europa,str,131072,16.71
europa,nearestx,262144,22.533
europa,str,262144,35.003
europa,nearestx,524288,47.051
europa,str,524288,72.711
europa,nearestx,1048576,100.831
europa,str,1048576,154.405
europa,nearestx,2097152,228.53
europa,str,2097152,319.422
europa,nearestx,4194304,467.587
europa,str,4194304,663.324
europa,nearestx,8388608,1001.5
europa,str,8388608,1406.94
europa,nearestx,16777216,2167.19
europa,str,16777216,3369.88
