dataset,method,N,s,avg_io,avg_points,stddev_points
random,nearestx,16777216,0.0025,209.72,107.01,10.4542
random,str,16777216,0.0025,6.07,107.01,10.4542
europa,nearestx,16777216,0.0025,118.83,26.71,109.827
europa,str,16777216,0.0025,4.64,26.71,109.827
random,nearestx,16777216,0.005,416.78,418.98,18.1829
random,str,16777216,0.005,9.27,418.98,18.1829
europa,nearestx,16777216,0.005,188.78,558.23,2398.71
europa,str,16777216,0.005,8.92,558.23,2398.71
random,nearestx,16777216,0.01,829.63,1679.71,49.234
random,str,16777216,0.01,18.41,1679.71,49.234
europa,nearestx,16777216,0.01,342.24,769.92,2441.88
europa,str,16777216,0.01,10.2,769.92,2441.88
random,nearestx,16777216,0.025,2069.6,10481.8,104.573
random,str,16777216,0.025,71,10481.8,104.573
europa,nearestx,16777216,0.025,1496.65,13827,39403.9
europa,str,16777216,0.025,84.27,13827,39403.9
random,nearestx,16777216,0.05,4136.1,41955.8,227.202
random,str,16777216,0.05,242.33,41955.8,227.202
europa,nearestx,16777216,0.05,2673.91,45335.6,113772
europa,str,16777216,0.05,248.26,45335.6,113772
